mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	slur	decrescendo_hairpin	crescendo_hairpin
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	30						
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	31						
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	32						
7	6	16	16	0.0	0	0	Spanner	3/4	1	1	0								2		
7	6	16	16	0.0	0	0	Spanner	3/4	1	1	0								2	0	
7	6	16	16	0.0	0	0	Chord	3/4	1	1	0	grace16	1/16	1	33				2	0	
7	6	16	16	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	34				2	0	
7	6	18	18	0.0	1/2	1/2	Spanner	3/4	1	1	0										
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	35						
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	36						
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	37						
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	38						
8	7	19	19	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	39				3		
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	40				3		
8	7	20	20	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	41				3		
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	42				3		
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	43				3		
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	44						
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	45						
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	46						
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	47						
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	48						
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	49						
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	50						
10	8	24	24	1.0	0	1/2	Chord	3/4	1	1	1/4		1/4	1	51				4		
11	9	25	25	0.0	0	0	Spanner	3/4	1	1	0								4		1
11	9	25	25	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	52				4		1
11	9	26	26	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	53				4		1
11	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	54				4		1
11	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	55						
11	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	56						
11	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	57						
12	10	28	28	0.0	0	0	Spanner	3/4	1	1	0								4		
12	10	28	28	0.0	0	0	Spanner	3/4	1	1	0								4	1	
12	10	28	28	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	58				4	1	
12	10	30	30	0.0	1/2	1/2	Spanner	3/4	1	1	0								4		
12	10	30	30	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	59				4		
