mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
4	4	15	15	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	32										
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	33										
4	4	12	12	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	34										
4	4	14	14	2.0	1/2	1/2	Chord	4/4	5	1	1/2	1/2	1	35										
4	4	12	12	0.5	0	0	Chord	4/4	5	2	1/8	1/8	1	36										
4	4	25/2	25/2	0.25	1/8	1/8	Chord	4/4	5	2	1/16	1/16	1	37										
4	4	51/4	51/4	0.25	3/16	3/16	Chord	4/4	5	2	1/16	1/16	1	38										
4	4	13	13	0.5	1/4	1/4	Chord	4/4	5	2	1/8	1/8	1	39										
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	5	2	1/8	1/8	1	40										
4	4	14	14	0.5	1/2	1/2	Chord	4/4	5	2	1/8	1/8	1	41										
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	5	2	1/16	1/16	1	42										
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	5	2	1/16	1/16	1	43										
4	4	15	15	0.5	3/4	3/4	Chord	4/4	5	2	1/8	1/8	1	44										
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	5	2	1/8	1/8	1	45										
5	5	18	18	0.0	1/2	1/2	Dynamic	4/4	2	1	0					f								
5	5	18	18	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	46	cru-									
5	5	16	16	2.0	0	0	Chord	4/4	3	1	1/2	1/2	1	47	-xus									
5	5	16	16	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	48										
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	4	1	1/16	1/16	1	49										
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16	1/16	1	50										
5	5	17	17	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	51										
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	52										
5	5	18	18	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	53										
5	5	37/2	37/2	0.25	5/8	5/8	Chord	4/4	4	1	1/16	1/16	1	54										
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	4	1	1/16	1/16	1	55										
5	5	19	19	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	56										
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	57										
5	5	16	16	2.0	0	0	Chord	4/4	5	1	1/2	1/2	1	58										
5	5	17	17	0.0	1/4	1/4	FiguredBass	4/4	5	1	0										1/8	6		
5	5	35/2	35/2	0.0	3/8	3/8	FiguredBass	4/4	5	1	0										1/8	_		
5	5	18	18	0.0	1/2	1/2	FiguredBass	4/4	5	1	0										1/2	5_		
5	5	16	16	0.5	0	0	Chord	4/4	5	2	1/8	1/8	1	59										
5	5	33/2	33/2	0.25	1/8	1/8	Chord	4/4	5	2	1/16	1/16	1	60										
5	5	67/4	67/4	0.25	3/16	3/16	Chord	4/4	5	2	1/16	1/16	1	61										
5	5	17	17	0.5	1/4	1/4	Chord	4/4	5	2	1/8	1/8	1	62										
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	5	2	1/8	1/8	1	63										
5	5	18	18	0.5	1/2	1/2	Chord	4/4	5	2	1/8	1/8	1	64										
5	5	37/2	37/2	0.25	5/8	5/8	Chord	4/4	5	2	1/16	1/16	1	65										
5	5	75/4	75/4	0.25	11/16	11/16	Chord	4/4	5	2	1/16	1/16	1	66										
5	5	19	19	0.5	3/4	3/4	Chord	4/4	5	2	1/8	1/8	1	67										
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	5	2	1/8	1/8	1	68										
