mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	slur
13	13	50	50	2.0	1/2	1/2	Chord	4/4	3	1	1/2	1/2	1	252										
13	13	48	48	0.5	0	0	Chord	4/4	4	1	1/8	1/8	1	253	no-									
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	4	1	1/16	1/16	1	254										
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	4	1	1/16	1/16	1	255										
13	13	49	49	0.5	1/4	1/4	Chord	4/4	4	1	1/8	1/8	1	256										
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	4	1	1/8	1/8	1	257										
13	13	50	50	0.5	1/2	1/2	Chord	4/4	4	1	1/8	1/8	1	258										
13	13	101/2	101/2	0.25	5/8	5/8	Chord	4/4	4	1	1/16	1/16	1	259										
13	13	203/4	203/4	0.25	11/16	11/16	Chord	4/4	4	1	1/16	1/16	1	260										
13	13	51	51	0.5	3/4	3/4	Chord	4/4	4	1	1/8	1/8	1	261										
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	4	1	1/8	1/8	1	262										
13	13	48	48	0.5	0	0	Chord	4/4	5	1	1/8	1/8	1	263										
13	13	97/2	97/2	0.25	1/8	1/8	Chord	4/4	5	1	1/16	1/16	1	264										
13	13	195/4	195/4	0.25	3/16	3/16	Chord	4/4	5	1	1/16	1/16	1	265										
13	13	49	49	0.5	1/4	1/4	Chord	4/4	5	1	1/8	1/8	1	266										
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	5	1	1/8	1/8	1	267										
13	13	50	50	0.5	1/2	1/2	Chord	4/4	5	1	1/8	1/8	1	268										
