mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	4	1	1/2	1/2	1		4	52	E3	3	0
1	1	0	0	2.0	0	0	4/4	5	1	1/2	1/2	1		4	52	E3	3	2
1	1	2	2	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		1	55	G3	3	1
1	1	2	2	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		1	55	G3	3	3
2	2	4	4	2.0	0	0	4/4	4	1	1/2	1/2	1		9	51	D#3	3	4
2	2	4	4	2.0	0	0	4/4	5	1	1/2	1/2	1		9	51	D#3	3	6
2	2	6	6	2.0	1/2	1/2	4/4	4	1	1/2	1/2	1		0	60	C4	4	5
2	2	6	6	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		0	60	C4	4	7
3	3	8	8	2.0	0	0	4/4	3	1	1/2	1/2	1		5	59	B3	3	8
3	3	8	8	2.0	0	0	4/4	4	1	1/2	1/2	1		5	59	B3	3	10
3	3	8	8	2.0	0	0	4/4	5	1	1/2	1/2	1		5	59	B3	3	15
3	3	8	8	2.0	0	0	4/4	5	2	1/2	1/2	1		5	59	B3	3	17
3	3	10	10	0.75	1/2	1/2	4/4	4	1	3/16	1/8	3/2		5	47	B2	2	11
3	3	10	10	0.75	1/2	1/2	4/4	5	2	3/16	1/8	3/2		5	47	B2	2	18
3	3	10	10	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		2	62	D4	4	9
3	3	10	10	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		2	62	D4	4	16
3	3	43/4	43/4	0.25	11/16	11/16	4/4	4	1	1/16	1/16	1		7	49	C#3	3	12
3	3	43/4	43/4	0.25	11/16	11/16	4/4	5	2	1/16	1/16	1		7	49	C#3	3	19
3	3	11	11	0.5	3/4	3/4	4/4	4	1	1/8	1/8	1		2	50	D3	3	13
3	3	11	11	0.5	3/4	3/4	4/4	5	2	1/8	1/8	1		2	50	D3	3	20
3	3	23/2	23/2	0.5	7/8	7/8	4/4	4	1	1/8	1/8	1		4	52	E3	3	14
3	3	23/2	23/2	0.5	7/8	7/8	4/4	5	2	1/8	1/8	1		4	52	E3	3	21
4	4	12	12	0.5	0	0	4/4	4	1	1/8	1/8	1		6	54	F#3	3	24
4	4	12	12	0.5	0	0	4/4	5	2	1/8	1/8	1		6	54	F#3	3	36
4	4	12	12	2.0	0	0	4/4	3	1	1/2	1/2	1		10	58	A#3	3	22
4	4	12	12	2.0	0	0	4/4	5	1	1/2	1/2	1		10	58	A#3	3	34
4	4	25/2	25/2	0.25	1/8	1/8	4/4	4	1	1/16	1/16	1		4	52	E3	3	25
4	4	25/2	25/2	0.25	1/8	1/8	4/4	5	2	1/16	1/16	1		4	52	E3	3	37
4	4	51/4	51/4	0.25	3/16	3/16	4/4	4	1	1/16	1/16	1		2	50	D3	3	26
4	4	51/4	51/4	0.25	3/16	3/16	4/4	5	2	1/16	1/16	1		2	50	D3	3	38
4	4	13	13	0.5	1/4	1/4	4/4	4	1	1/8	1/8	1		7	49	C#3	3	27
4	4	13	13	0.5	1/4	1/4	4/4	5	2	1/8	1/8	1		7	49	C#3	3	39
4	4	27/2	27/2	0.5	3/8	3/8	4/4	4	1	1/8	1/8	1		2	50	D3	3	28
4	4	27/2	27/2	0.5	3/8	3/8	4/4	5	2	1/8	1/8	1		2	50	D3	3	40
4	4	14	14	0.5	1/2	1/2	4/4	4	1	1/8	1/8	1		4	52	E3	3	29
4	4	14	14	0.5	1/2	1/2	4/4	5	2	1/8	1/8	1		4	52	E3	3	41
4	4	14	14	2.0	1/2	1/2	4/4	3	1	1/2	1/2	1		1	67	G4	4	23
4	4	14	14	2.0	1/2	1/2	4/4	5	1	1/2	1/2	1		1	67	G4	4	35
4	4	29/2	29/2	0.25	5/8	5/8	4/4	4	1	1/16	1/16	1		2	50	D3	3	30
4	4	29/2	29/2	0.25	5/8	5/8	4/4	5	2	1/16	1/16	1		2	50	D3	3	42
4	4	59/4	59/4	0.25	11/16	11/16	4/4	4	1	1/16	1/16	1		7	49	C#3	3	31
4	4	59/4	59/4	0.25	11/16	11/16	4/4	5	2	1/16	1/16	1		7	49	C#3	3	43
4	4	15	15	0.5	3/4	3/4	4/4	4	1	1/8	1/8	1		5	47	B2	2	32
4	4	15	15	0.5	3/4	3/4	4/4	5	2	1/8	1/8	1		5	47	B2	2	44
4	4	31/2	31/2	0.5	7/8	7/8	4/4	4	1	1/8	1/8	1		7	49	C#3	3	33
4	4	31/2	31/2	0.5	7/8	7/8	4/4	5	2	1/8	1/8	1		7	49	C#3	3	45
5	5	16	16	0.5	0	0	4/4	4	1	1/8	1/8	1		2	50	D3	3	48
5	5	16	16	0.5	0	0	4/4	5	2	1/8	1/8	1		2	50	D3	3	59
5	5	16	16	2.0	0	0	4/4	3	1	1/2	1/2	1		6	66	F#4	4	47
5	5	16	16	2.0	0	0	4/4	5	1	1/2	1/2	1		6	66	F#4	4	58
5	5	33/2	33/2	0.25	1/8	1/8	4/4	4	1	1/16	1/16	1		7	49	C#3	3	49
5	5	33/2	33/2	0.25	1/8	1/8	4/4	5	2	1/16	1/16	1		7	49	C#3	3	60
5	5	67/4	67/4	0.25	3/16	3/16	4/4	4	1	1/16	1/16	1		5	47	B2	2	50
5	5	67/4	67/4	0.25	3/16	3/16	4/4	5	2	1/16	1/16	1		5	47	B2	2	61
5	5	17	17	0.5	1/4	1/4	4/4	4	1	1/8	1/8	1		7	49	C#3	3	51
5	5	17	17	0.5	1/4	1/4	4/4	5	2	1/8	1/8	1		7	49	C#3	3	62
5	5	35/2	35/2	0.5	3/8	3/8	4/4	4	1	1/8	1/8	1		9	51	D#3	3	52
5	5	35/2	35/2	0.5	3/8	3/8	4/4	5	2	1/8	1/8	1		9	51	D#3	3	63
5	5	18	18	0.5	1/2	1/2	4/4	4	1	1/8	1/8	1		4	52	E3	3	53
5	5	18	18	0.5	1/2	1/2	4/4	5	2	1/8	1/8	1		4	52	E3	3	64
5	5	18	18	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	46
5	5	37/2	37/2	0.25	5/8	5/8	4/4	4	1	1/16	1/16	1		1	55	G3	3	54
5	5	37/2	37/2	0.25	5/8	5/8	4/4	5	2	1/16	1/16	1		1	55	G3	3	65
5	5	75/4	75/4	0.25	11/16	11/16	4/4	4	1	1/16	1/16	1		6	54	F#3	3	55
5	5	75/4	75/4	0.25	11/16	11/16	4/4	5	2	1/16	1/16	1		6	54	F#3	3	66
5	5	19	19	0.5	3/4	3/4	4/4	4	1	1/8	1/8	1		4	52	E3	3	56
5	5	19	19	0.5	3/4	3/4	4/4	5	2	1/8	1/8	1		4	52	E3	3	67
5	5	39/2	39/2	0.5	7/8	7/8	4/4	4	1	1/8	1/8	1		2	50	D3	3	57
5	5	39/2	39/2	0.5	7/8	7/8	4/4	5	2	1/8	1/8	1		2	50	D3	3	68
6	6	20	20	2.0	0	0	4/4	4	1	1/2	1/2	1		0	48	C3	3	80
6	6	20	20	2.0	0	0	4/4	5	1	1/2	1/2	1		0	48	C3	3	82
6	6	20	20	0.75	0	0	4/4	3	1	3/16	1/8	3/2		4	52	E3	3	71
6	6	20	20	2.0	0	0	4/4	2	1	1/2	1/2	1		1	67	G4	4	69
6	6	83/4	83/4	0.25	3/16	3/16	4/4	3	1	1/16	1/16	1		6	54	F#3	3	72
6	6	21	21	0.5	1/4	1/4	4/4	3	1	1/8	1/8	1		1	55	G3	3	73
6	6	43/2	43/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		3	57	A3	3	74
6	6	22	22	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		5	47	B2	2	81
6	6	22	22	1.0	1/2	1/2	4/4	5	1	1/4	1/4	1		5	47	B2	2	83
6	6	22	22	0.5	1/2	1/2	4/4	3	1	1/8	1/8	1		5	59	B3	3	75
6	6	22	22	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		9	63	D#4	4	70
6	6	45/2	45/2	0.25	5/8	5/8	4/4	3	1	1/16	1/16	1		3	57	A3	3	76
6	6	91/4	91/4	0.25	11/16	11/16	4/4	3	1	1/16	1/16	1		1	55	G3	3	77
6	6	23	23	0.5	3/4	3/4	4/4	3	1	1/8	1/8	1		6	54	F#3	3	78
6	6	23	23	0.5	3/4	3/4	4/4	5	1	1/8	1/8	1		-8	64	Fb4	4	84
6	6	47/2	47/2	0.5	7/8	7/8	4/4	3	1	1/8	1/8	1		1	55	G3	3	79
6	6	47/2	47/2	0.5	7/8	7/8	4/4	5	1	1/8	1/8	1		1	67	G4	4	85
7	7	24	24	0.5	0	0	4/4	3	1	1/8	1/8	1		3	57	A3	3	89
7	7	24	24	0.5	0	0	4/4	5	1	1/8	1/8	1		3	69	A4	4	97
7	7	24	24	2.0	0	0	4/4	2	1	1/2	1/2	1		0	72	C5	5	87
7	7	49/2	49/2	0.25	1/8	1/8	4/4	3	1	1/16	1/16	1		1	55	G3	3	90
7	7	49/2	49/2	0.25	1/8	1/8	4/4	5	1	1/16	1/16	1		1	67	G4	4	98
7	7	99/4	99/4	0.25	3/16	3/16	4/4	3	1	1/16	1/16	1		6	54	F#3	3	91
7	7	99/4	99/4	0.25	3/16	3/16	4/4	5	1	1/16	1/16	1		6	66	F#4	4	99
7	7	25	25	0.5	1/4	1/4	4/4	3	1	1/8	1/8	1		4	52	E3	3	92
7	7	25	25	0.5	1/4	1/4	4/4	5	1	1/8	1/8	1		4	64	E4	4	100
7	7	51/2	51/2	0.5	3/8	3/8	4/4	3	1	1/8	1/8	1		6	54	F#3	3	93
7	7	51/2	51/2	0.5	3/8	3/8	4/4	5	1	1/8	1/8	1		6	66	F#4	4	101
7	7	26	26	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		1	55	G3	3	94
7	7	26	26	1.0	1/2	1/2	4/4	5	1	1/4	1/4	1		1	67	G4	4	102
7	7	26	26	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	86
