piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	Deutsch	dance	goldenberg_id	originalFormat	audioComUrl	sourceRevisionId	subtitle	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus	staff_4_instrument	staff_4_ambitus	staff_5_instrument	staff_5_ambitus
D783deutscher10	1: 3/4	1: 0	26	24	72.0	52	48	144.0	266.0	272	89	0	0	0	Franz Schubert	16 Deutsche Tänze op. 33 D 783	10		op. 33					2019-08-09	3.02	Linux			Deutscher no. 10	D. 783	Franz Schubert	3.6.2	2.6.0	MS3	MS3/D783deutscher10.mscx	False	34-81 (Bb1-A5)	783	deutscher	347.0	xml				Instrument 1	62-81 (D4-A5)	Instrument 1	34-68 (Bb1-G#4)						
Jan_Dismas_Zelenka-Missa_Votiva_ZWV_18-Crucifixus	1: 4/4	1: 1	64	64	256.0	64	64	256.0	1056.0	1241	473	4	0	1	Compositeur / Arrangeur	Partition sans titre								2024-07-04	3.02	Apple Macintosh	http://musescore.com/user/32757476/scores/19352440					3.6.2	2.6.0	MS3	MS3/Jan_Dismas_Zelenka-Missa_Votiva_ZWV_18-Crucifixus.mscx	False	38-81 (D2-A5)							Sous-titre	Soprano	64-79 (E4-G5)	Alto	57-74 (A3-D5)	Ténor	47-69 (B2-A4)	Basse	43-66 (G2-F#4)	Orgue à tuyaux	38-81 (D2-A5)
