LABEL,TIME,FRAME
1+0/1,0.017415,768
1+1/2,0.191565,8448
2+0/1,0.365714,16128
2+1/2,0.539864,23808
3+0/1,0.714014,31488
3+1/2,0.888163,39168
3+11/16,1.06231,46848
3+3/4,1.23646,54528
3+7/8,1.41061,62208
4+0/1,1.58476,69888
4+1/8,1.75891,77568
4+3/16,1.93306,85248
4+1/4,2.10721,92928
4+3/8,2.28136,100608
4+1/2,2.45551,108288
4+5/8,2.62966,115968
4+11/16,2.80381,123648
4+3/4,2.97796,131328
4+7/8,3.15211,139008
5+0/1,3.32626,146688
5+1/8,3.50041,154368
5+3/16,3.67456,162048
5+1/4,3.84871,169728
5+3/8,4.02286,177408
5+1/2,4.19701,185088
5+5/8,4.37116,192768
5+11/16,4.54531,200448
5+3/4,4.71946,208128
5+7/8,4.89361,215808
6+0/1,5.06776,223488
6+3/16,5.2419,231168
6+1/4,5.41605,238848
6+3/8,5.5902,246528
6+1/2,5.76435,254208
6+5/8,5.9385,261888
6+11/16,6.11265,269568
6+3/4,6.2868,277248
6+7/8,6.46095,284928
7+0/1,6.6351,292608
7+1/8,6.80925,300288
7+3/16,6.9834,307968
7+1/4,7.15755,315648
7+3/8,7.3317,323328
7+1/2,7.50585,331008
7+3/4,7.68,338688
7+7/8,7.85415,346368
8+0/1,8.0283,354048
8+1/8,8.20245,361728
8+3/16,8.3766,369408
8+1/4,8.55075,377088
8+5/16,8.7249,384768
8+3/8,8.89905,392448
8+7/16,9.0732,400128
8+1/2,9.24735,407808
8+5/8,9.4215,415488
8+11/16,9.59565,423168
8+3/4,9.7698,430848
8+7/8,9.94395,438528
9+0/1,10.1181,446208
9+1/8,10.2922,453888
9+3/16,10.4664,461568
9+1/4,10.6405,469248
9+3/8,10.8147,476928
9+1/2,10.9888,484608
9+5/8,11.163,492288
9+11/16,11.3371,499968
9+3/4,11.5113,507648
9+7/8,11.6854,515328
10+0/1,11.8596,523008
10+1/8,12.0337,530688
10+3/16,12.2079,538368
10+1/4,12.382,546048
10+3/8,12.5562,553728
10+1/2,12.7303,561408
10+5/8,12.9045,569088
10+11/16,13.0786,576768
10+3/4,13.2528,584448
10+7/8,13.4269,592128
10+15/16,13.6011,599808
11+0/1,13.7752,607488
11+1/8,13.9494,615168
11+3/16,14.1235,622848
11+1/4,14.2977,630528
11+3/8,14.4718,638208
11+7/16,14.646,645888
11+1/2,14.8201,653568
11+5/8,14.9943,661248
11+11/16,15.1684,668928
11+3/4,15.3426,676608
11+7/8,15.5167,684288
11+15/16,15.6909,691968
12+0/1,15.865,699648
12+1/8,16.0392,707328
12+3/16,16.2133,715008
12+1/4,16.3875,722688
12+3/8,16.5616,730368
12+1/2,16.7358,738048
12+5/8,16.9099,745728
12+11/16,17.0841,753408
12+3/4,17.2582,761088
12+7/8,17.4324,768768
12+15/16,17.6065,776448
13+0/1,17.7807,784128
13+1/8,17.9548,791808
13+3/16,18.129,799488
13+1/4,18.3031,807168
13+3/8,18.4773,814848
13+7/16,18.6514,822528
13+1/2,18.8256,830208
13+5/8,18.9997,837888
13+11/16,19.1739,845568
13+3/4,19.348,853248
13+7/8,19.5222,860928
13+15/16,19.6963,868608
14+0/1,19.8705,876288
14+1/8,20.0446,883968
14+3/16,20.2188,891648
14+1/4,20.3929,899328
14+3/8,20.5671,907008
14+7/16,20.7412,914688
14+1/2,20.9154,922368
14+5/8,21.0895,930048
14+3/4,21.2637,937728
15+0/1,21.4378,945408
15+1/4,21.612,953088
15+1/2,21.7861,960768
15+3/4,21.9603,968448
15+7/8,22.1344,976128
16+0/1,22.3086,983808
16+1/4,22.4827,991488
16+1/2,22.6569,999168
16+5/8,22.831,1006848
16+3/4,23.0052,1014528
17+0/1,23.1793,1022208
17+1/4,23.3535,1029888
17+1/2,23.5276,1037568
17+3/4,23.7018,1045248
18+0/1,23.8759,1052928
18+1/8,24.0501,1060608
18+1/4,24.2242,1068288
18+3/8,24.3984,1075968
18+1/2,24.5725,1083648
18+5/8,24.7467,1091328
18+3/4,24.9208,1099008
19+0/1,25.095,1106688
19+1/8,25.2691,1114368
19+1/4,25.4433,1122048
19+3/8,25.6174,1129728
19+1/2,25.7916,1137408
19+5/8,25.9657,1145088
19+3/4,26.1399,1152768
19+7/8,26.314,1160448
19+15/16,26.4882,1168128
20+0/1,26.6623,1175808
20+1/8,26.8365,1183488
20+3/16,27.0106,1191168
20+1/4,27.1848,1198848
20+3/8,27.3589,1206528
20+7/16,27.5331,1214208
20+1/2,27.7072,1221888
20+3/4,27.8814,1229568
21+0/1,28.0555,1237248
21+1/4,28.2297,1244928
21+1/2,28.4038,1252608
21+5/8,28.578,1260288
21+3/4,28.7521,1267968
21+7/8,28.9263,1275648
22+0/1,29.1004,1283328
22+1/4,29.2746,1291008
22+1/2,29.4487,1298688
22+3/4,29.6229,1306368
22+7/8,29.797,1314048
23+0/1,29.9712,1321728
23+1/4,30.1453,1329408
23+1/2,30.3195,1337088
23+11/16,30.4936,1344768
23+3/4,30.6678,1352448
23+7/8,30.8419,1360128
24+0/1,31.0161,1367808
24+1/8,31.1902,1375488
24+3/16,31.3644,1383168
24+1/4,31.5385,1390848
24+3/8,31.7127,1398528
24+1/2,31.8868,1406208
24+5/8,32.061,1413888
